movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M283,R283,"$17,766,658 ","$17,812,349 ","$35,579,007 ","$521,522 "
M284,R284,"$905,111 ","$1,114,763 ","$2,019,874 ","$48,638 "
M285,R285,"$50,701,325 ","$62,760,202 ","$113,461,527 ","$19,153,698 "
M286,R286,"$102,092,201 ","$203,292,664 ","$305,384,865 ","$35,006,404 "
M287,R287,"$200,074,175 ","$679,426,585 ","$879,500,760 ","$70,403,148 "
M288,R288,"$48,023,088 ","$29,525,034 ","$77,548,122 ","$12,608,372 "
M289,R289,"$8,866,745 ","$7,567,843 ","$16,434,588 ","$3,653,035 "
M290,R290,"$3,496,795 ","$2,342,527 ","$5,839,322 ","$124,823 "
M291,R291,"$16,790,139 ","$9,243,424 ","$26,033,563 ","$350,190 "
M292,R292,"$27,007,844 ","$10,558,273 ","$37,566,117 ","$621,329 "
M293,R293,"$102,084,362 ","$88,291,819 ","$190,376,181 ","$36,011,640 "
M294,R294,"$120,634,935 ","$278,593,192 ","$399,228,127 ","$34,952,180 "
M295,R295,"$220,159,104 ","$567,017,625 ","$787,176,729 ","$61,236,534 "
M296,R296,"$51,573,925 ","$46,771,498 ","$98,345,423 ","$18,286,420 "
M297,R297,"$86,089,513 ","$130,475,327 ","$216,564,840 ","$24,531,923 "
M298,R298,"$546,201 ","$1,186,027 ","$1,732,228 ","$37,983 "
M299,R299,"$97,670,358 ","$43,673,897 ","$141,344,255 ","$34,263,534 "
M300,R300,"$76,233,151 ","$61,535,824 ","$137,768,975 ","$21,514,095 "
M301,R301,"$19,700,032 ","$38,114,413 ","$57,814,445 ","$6,249,915 "
M302,R302,"$13,539,710 ","$808,310 ","$14,348,020 ","$263,797 "
M303,R303,"$10,161,183 ","$51,330,921 ","$61,492,104 ","$1,560,299 "
M304,R304,"$228,433,663 ","$425,175,444 ","$653,609,107 ","$54,308,575 "
M305,R305,"$35,088,320 ","$116,437,653 ","$151,525,973 ","$15,315,435 "
M306,R306,"$325,100,054 ","$420,644,926 ","$745,744,980 ","$133,682,248 "
M307,R307,"$17,493,096 ","$792,464 ","$18,285,560 ","$727,266 "
M308,R308,"$40,479,370 ","$174,618,986 ","$215,098,356 ","$17,007,624 "
M309,R309,"$115,108,515 ","$25,777,838 ","$140,886,353 ","$31,201,920 "
M310,R310,"$190,068,280 ","$327,990,546 ","$518,058,826 ","$50,513,488 "
M311,R311,"$14,301,505 ","$9,175,840 ","$23,477,345 ","$5,467,084 "
M312,R312,"$146,880,162 ","$342,712,105 ","$489,592,267 ","$56,262,929 "
M313,R313,"$69,488,745 ","$67,565,852 ","$137,054,597 ","$17,374,280 "
M314,R314,"$216,648,740 ","$406,495,920 ","$623,144,660 ","$75,812,205 "
M315,R315,"$68,420,120 ","$236,448,841 ","$304,868,961 ","$24,905,015 "
M316,R316,"$75,764,672 ","$121,351,038 ","$197,115,710 ","$17,728,313 "
M317,R317,"$169,700,110 ","$300,131,095 ","$469,831,205 ","$48,464,322 "
M318,R318,"$7,192,291 ","$5,739,129 ","$12,931,420 ","$3,520,626 "
M319,R319,"$113,257,297 ","$67,228,304 ","$180,485,601 ","$23,817,340 "
M320,R320,"$38,583,626 ","$47,000,319 ","$85,583,945 ","$9,445,456 "
M321,R321,"$57,528 ","$570,010 ","$627,538 ","$6,863 "
M322,R322,"$6,735,118 ","$37,342,131 ","$44,077,249 ","$23,180 "
M323,R323,"$158,848,340 ","$176,825,368 ","$335,673,708 ","$59,253,211 "
M324,R324,"$67,268,835 ","$81,537,675 ","$148,806,510 ","$21,688,103 "
